text,likes,published_at,clean_text
"Menurut alanisis gw ya, A5x itu update benerannya 3 tahun sekali.
Misalnya A50 dan A51 biasa aja tp pas A52 itu paling bagus, bahkan ada A52s yg 5G. Ke A53 malah kaya downgrade jd ga ada jack audio, ke A54 upgrade tp ya lumayan doang.
Nah pas A55 jan lumayan jd midrange terbaik, ke A56 biasa aja dan kaya downgrade karena ilang slot SD walau ngecas jadi 45w, ke A57 jadi penyempurnaan doang. Harusnya ntr A58 baru ada gebrakan yg lumayan kerasa.",0,2026-04-17T06:11:31Z,alanisis gw a5x update benerannya 3 tahun sekali misalnya a50 a51 biasa aja tp pas a52 paling bagus bahkan a52s yg 5g a53 malah kaya downgrade jd ga jack audio a54 upgrade tp lumayan doang nah pas a55 jan lumayan jd midrange terbaik a56 biasa aja kaya downgrade ilang slot sd ngecas jadi 45w a57 jadi penyempurnaan doang harusnya ntr a58 baru gebrakan yg lumayan kerasa
"silicone battery, OLED tipe LTPO, dex mode, lensa tele, vapor chamber mana sunggg. teknologi gak ada yang revolusioner tapi minta harga tinggi. jangan kelamaan tidur ntar didepak sama group laen. salam dari mantan user samsung seri M yang sudah lama punah",0,2026-04-17T05:56:43Z,silicone battery oled tipe ltpo dex mode lensa tele vapor chamber mana sunggg teknologi gak revolusioner minta harga tinggi jangan kelamaan tidur ntar didepak sama group laen salam mantan user samsung seri m lama punah
Masih pake J7 prime di tahun 2026 😂,0,2026-04-17T05:47:33Z,pake j7 prime tahun 2026
Kredit A56 5G  harga 5 juta 10 bayar murah apa mahal ya ?,0,2026-04-17T01:46:29Z,kredit a56 5g harga 5 juta 10 bayar murah apa mahal
Prefer ke s25fe sumpah nyaman,0,2026-04-17T01:27:51Z,prefer s25fe sumpah nyaman
Gw masi makek samsung a05s pasti kerasa banget bedanya kalo ganti😌,0,2026-04-17T01:12:31Z,gw masi makek samsung a05s kerasa banget bedanya kalo ganti
Dari 2018 aku masih pake A50 😊,0,2026-04-17T00:13:56Z,2018 aku pake a50
A100 malah sudah mulai hilang dengan kemajuan teknologi....,0,2026-04-16T23:53:45Z,a100 malah mulai hilang kemajuan teknologi
Pengen setia dg samsung a52 ku tapi apaalah hp itu sudah hilang skrg😢,0,2026-04-16T23:03:07Z,pengen setia dg samsung a52 ku apaalah hp hilang skrg
"Ga worth it, gua aja pas mau beli pas cek harganya langsung mutusin ke S25 FE ajee...
Jauh bro ama S25 FE untuk rentang harga mirip2",0,2026-04-16T16:51:23Z,ga worth it gua aja pas mau beli pas cek harganya langsung mutusin s25 fe ajee jauh bro ama s25 fe rentang harga mirip2
Sebenarnya harga samsung itu masih relatif wajar. Cuma mereka patokan transaksinya USD sedangkan brand china pakai Yuan. Saat ini tahu sendiri kan exchange rate nya berapa?,0,2026-04-16T16:40:30Z,sebenarnya harga samsung relatif wajar cuma patokan transaksinya usd brand china pakai yuan tahu sendiri kan exchange rate nya berapa
Masih pake A54,0,2026-04-16T15:55:26Z,pake a54
Kenapa sih hp hp jaman sekarang pada gede²,0,2026-04-16T14:39:46Z,sih hp hp jaman sekarang gede
"Exynoss😂😂 download bankung,sekurotas auto matot",0,2026-04-16T14:11:17Z,exynoss download bankungsekurotas auto matot
"Masih nyaman sama A25 5G, samsung emang nyaman dipakai",0,2026-04-16T14:00:54Z,nyaman sama a25 5g samsung emang nyaman dipakai
"gw udah ngangguk² sih liat ni HP, tapi pas liat harga😅 HELLNAAHH",0,2026-04-16T13:58:59Z,gw udah ngangguk sih liat ni hp pas liat harga hellnaahh
Kalo kamu bukan tipe orang yg suka bikin stori video dan foto2 mending beli hp dari merk lain yg jauh lebih bagus performanya,0,2026-04-16T13:31:01Z,kalo kamu bukan tipe orang yg suka bikin stori video foto2 mending beli hp merk yg jauh lebih bagus performanya
"Selama ini saya salah paham, saya kira dengan adanya fitur IP67 di A56 pas kemasukan air akan terkover garansi ternyata tidak masuk, akhirnya saya bayar",0,2026-04-16T12:34:37Z,selama salah paham kira adanya fitur ip67 a56 pas kemasukan air terkover garansi ternyata masuk akhirnya bayar
"Bang David, review infinix gt 50 pro dong, sekalian bedain gt50 pro sama gt 30 pro",0,2026-04-16T12:10:29Z,bang david review infinix gt 50 pro dong sekalian bedain gt50 pro sama gt 30 pro
"Kenapa mahal bet untuk spek se kentang itu anjay🗿
Itu iqoo dan poco atau hp² lain yg lu rekomen in di kelas midrange bukan mending lagi jatuh nya,, HARUS😂 standar baru nya udh spek² kek mereka kelas mid,, krn software aja standar nya udh beda... 
Misal nya genshin. Dlu game plg berat bukan? Skrg ada yg jauh lebih berat yaitu WWM,, grafik nya semi Triple A, gameplay kompleks, NPC, dunia dll real time berasa hidup bgt, bisa komunikasi sm NPC kek kita chattan ama org. Ada juga HOK world (april ini 2026) itu map nya udh kek Benua saking luas nya,, gameplay kompleks, grafis detail

Pokonya udh beda bgt,, udh kek ""Next Gen"" Itu software jmn skrg. Dan gw rasa juga udh ga relevan klo lu ngetes performa hp² skrg pke software yg lawas macam ML, genshin dll udh beda standar nya...",0,2026-04-16T10:12:48Z,mahal bet spek se kentang anjay iqoo poco hp yg lu rekomen in kelas midrange bukan mending jatuh nya standar baru nya udh spek kek kelas mid krn software aja standar nya udh beda misal nya genshin dlu game plg berat bukan skrg yg jauh lebih berat wwm grafik nya semi triple a gameplay kompleks npc dunia real time berasa hidup bgt komunikasi sm npc kek chattan ama org hok world april 2026 map nya udh kek benua saking luas nya gameplay kompleks grafis detail pokonya udh beda bgt udh kek next gen software jmn skrg gw rasa udh ga relevan klo lu ngetes performa hp skrg pke software yg lawas macam ml genshin udh beda standar nya
"masak kalah sama infinix note 60,pro ada wires charges, chipset snap dragon.",0,2026-04-16T08:34:51Z,masak kalah sama infinix note 60pro wires charges chipset snap dragon
.,0,2026-04-16T08:14:22Z,
komen ini pakai samsung a57,0,2026-04-16T06:58:03Z,komen pakai samsung a57
"ini karna salesnya samsung itu mirip sales oppo/vivo tahun 2017 hahahaha yg suka ngelebihin apa apa, padahal upgradenya itu itu aja",0,2026-04-16T06:48:28Z,karna salesnya samsung mirip sales oppovivo tahun 2017 hahahaha yg suka ngelebihin apa apa padahal upgradenya aja
di tunggu A77 5G bang David 😊,0,2026-04-16T05:55:54Z,tunggu a77 5g bang david
"Di A56 kelemahannya masih sama, di sinyal tidak stabil",0,2026-04-16T04:35:22Z,a56 kelemahannya sama sinyal stabil
"Boleh juga nih A58, enak di pegang, bezel lumayan tipis, mantab",0,2026-04-16T04:17:43Z,nih a58 enak pegang bezel lumayan tipis mantab
Mls klau bukan naga,0,2026-04-16T03:53:19Z,mls klau bukan naga
"Sayangnya seri a di bagian port chargingnya pas di cas kadang masuk kadang kagak pemakaian 2,5 tahun baru terasa penyakitnya samsung seri a, pengalaman pake a71 smpe a55 sekarang penyakitnya sama PORT CHARGINGNYA PAS DI CAS KADANG MASUK KADANG KAGAK 😅",0,2026-04-16T03:44:40Z,sayangnya seri a bagian port chargingnya pas cas kadang masuk kadang kagak pemakaian 25 tahun baru terasa penyakitnya samsung seri a pengalaman pake a71 smpe a55 sekarang penyakitnya sama port chargingnya pas cas kadang masuk kadang kagak
"Nonton pake a52s, awet si cma kek setrikaan",0,2026-04-15T23:17:37Z,nonton pake a52s awet si cma kek setrikaan
yang bikin mahal ya karena samsung,0,2026-04-15T21:57:57Z,bikin mahal samsung
"Samsung samsung gw pertama kali nya kena genzutsu samsung pas S22 Ultra , demi tuhan gw nyesel Masa hp gw beli 13 jt an , Main ml se game aja Nge frame saking panas nya",0,2026-04-15T21:25:09Z,samsung samsung gw pertama kali nya kena genzutsu samsung pas s22 ultra tuhan gw nyesel masa hp gw beli 13 jt an main ml se game aja nge frame saking panas nya
Samsung hp awet. Kalau ga kebanting 8 taun itu nyaman aja. Cuma ketinggalan speak aja😁😁😁,0,2026-04-15T19:17:39Z,samsung hp awet kalau ga kebanting 8 taun nyaman aja cuma ketinggalan speak aja
HP Midrange yang harganya gak Midrange lagi,0,2026-04-15T18:55:10Z,hp midrange harganya gak midrange
"aku pakai a56 dri bulan september 2025, eh skrg udh ada a57, ga kerasa ya, ga bakalan ada abisnya, pakai aja dlu yg ada guys kalau emg butuh dan ada rezeki baru belii",0,2026-04-15T16:14:16Z,aku pakai a56 dri bulan september 2025 eh skrg udh a57 ga kerasa ga bakalan abisnya pakai aja dlu yg guys kalau emg butuh rezeki baru belii
"Kenapa Sekarang Susah Banget Nyari Samsung seri A72 4g,kebanyakan di outlet2 seri 5G,soalnya saya tidak bisa move on dari Hp itu,dulu kepaksa kejual buat ekonomi,sekarang masih nyaman dan seneng saja pakai samsung A52 4g dengan main camera belakang 60MP dan camera depan 32Mp..kita syukuri sja",0,2026-04-15T16:12:09Z,sekarang susah banget nyari samsung seri a72 4gkebanyakan outlet2 seri 5gsoalnya move on hp itudulu kepaksa kejual buat ekonomisekarang nyaman seneng pakai samsung a52 4g main camera belakang 60mp camera depan 32mpkita syukuri sja
"Beneran santai sih upgrade nya buat hp mid range class kalau dibandingin dengan kompetitornya seperti vivo, infinix, realme yang layarnya udah makai curved, si Sam ini masih nyantai make layar flat untuk hpnya di class mid range dan masih pertahankan layar curved di seri S nya",0,2026-04-15T15:47:57Z,beneran santai sih upgrade nya buat hp mid range class kalau dibandingin kompetitornya vivo infinix realme layarnya udah makai curved si sam nyantai make layar flat hpnya class mid range pertahankan layar curved seri s nya
Infinix 60 ultra dong,0,2026-04-15T15:25:54Z,infinix 60 ultra dong
"Akhirnya a56s di ulas juga..😬😬

gak layak disebut a57🤧🤧",0,2026-04-15T15:06:34Z,akhirnya a56s ulas gak layak disebut a57
"samsung tuh variannya terlalu banyak dan perbedaan masing2 gk terlalu mencolok,kadang jadi bingung milihnya",0,2026-04-15T14:17:18Z,samsung tuh variannya terlalu banyak perbedaan masing2 gk terlalu mencolokkadang jadi bingung milihnya
Barusan beli varian 12/256 cuman 7.14 doang di Shopee :'),0,2026-04-15T14:06:22Z,barusan beli varian 12256 cuman 714 doang shopee
"Overprice A57, spek beda tipis dgn A56. Lebih masuk akal ambil A56 walaupun hp tahun lalu.",0,2026-04-15T13:41:09Z,overprice a57 spek beda tipis dgn a56 lebih masuk akal ambil a56 walaupun hp tahun lalu
Masih stay di j5 pro 😂,0,2026-04-15T13:10:10Z,stay j5 pro
Msh di A35. Blm ada niatan ganti selagi msh bagus😊,0,2026-04-15T13:06:56Z,msh a35 blm niatan ganti msh bagus
Waduh baru juga ganti samsung a07 ini ada lagi,1,2026-04-15T13:02:37Z,waduh baru ganti samsung a07
"samsung gua a35 bnyk kendala nya wifi gabisa suka mati idup sendiri,menggiurkan si samsung tapiii",0,2026-04-15T12:45:20Z,samsung gua a35 bnyk kendala nya wifi gabisa suka mati idup sendirimenggiurkan si samsung tapiii
Saya ada samsung A56 12/256 kondisi fresh segel plastik belum kebuka. Lebih baik upgrade TT ke a57 sekalian nggak ya?,0,2026-04-15T12:13:44Z,samsung a56 12256 kondisi fresh segel plastik kebuka lebih baik upgrade tt a57 sekalian
bg buat vid mendingan a57 atau Tecno Camon 50 dong bg,0,2026-04-15T11:55:04Z,bg buat vid mendingan a57 tecno camon 50 dong bg
DARI SEMUA KONTEN YANG GW TONTON TAPI GW SELALU SALPOK SAMA KAOS YANG DI PAKE KELIATANYA HIGH QUALITY BANGET GUTU PAHAM GA SI JADI PENGEN SPILL DONG BANG JANGAN SPILL HP MULU😭,0,2026-04-15T11:45:58Z,semua konten gw tonton gw selalu salpok sama kaos pake keliatanya high quality banget gutu paham ga si jadi pengen spill dong bang jangan spill hp mulu
Baru 2 minggu beli A56. Eh ada lg yg 57😢,0,2026-04-15T11:31:24Z,baru 2 minggu beli a56 eh lg yg 57
gua lagi nunggu A200,0,2026-04-15T11:09:05Z,gua nunggu a200
Kamera bagusan A52 4g,0,2026-04-15T10:50:04Z,kamera bagusan a52 4g
samsung A57 vs Poco X8 Pro kira kira bagusan mana gan ?,0,2026-04-15T10:28:09Z,samsung a57 vs poco x8 pro kira kira bagusan mana gan
"Sorry oot, bang boleh review laptop ga",0,2026-04-15T10:22:31Z,sorry oot bang review laptop ga
"Baru kali ini dengerin bang david ngomong jawa ""PIRO"" ? Wkwk",0,2026-04-15T09:07:30Z,baru kali dengerin bang david ngomong jawa piro wkwk
mending ambil s apa seri tingginya A series ya🤔,0,2026-04-15T09:03:53Z,mending ambil s apa seri tingginya a series
Mending S25 FE dong ya bang?,0,2026-04-15T07:43:01Z,mending s25 fe dong bang
Bg .Poco x8 pro 5g vs Tecno comon 50 pro 5g  dong,0,2026-04-15T07:21:39Z,bg poco x8 pro 5g vs tecno comon 50 pro 5g dong
A55 A56 belum bisa kebeli eh malah keluar lagi A57,0,2026-04-15T06:33:41Z,a55 a56 kebeli eh malah keluar a57
"Liat samsung A56 dan A57 tu jd keinget jaman nokia 3310, 3315 dan 3330 pada masanya. Beda tipisss spesifikasinya. Apakaaah A57 bisa dibilang produk gagalnya samsung?",0,2026-04-15T05:49:35Z,liat samsung a56 a57 tu jd keinget jaman nokia 3310 3315 3330 masanya beda tipisss spesifikasinya apakaaah a57 dibilang produk gagalnya samsung
"Saya pake reno 14f ada dynamic island nya, Samsung ini ada gak?",0,2026-04-15T05:40:29Z,pake reno 14f dynamic island nya samsung gak
Nonton make a52s soon ganti ke s24 rencana nya,0,2026-04-15T05:06:58Z,nonton make a52s soon ganti s24 rencana nya
Masih stanbay di samsung A54😅 dsyukurin aja😊,0,2026-04-15T04:48:19Z,stanbay samsung a54 dsyukurin aja
byeee mending ambil s24 second🧍‍♀️,0,2026-04-15T04:27:11Z,byeee mending ambil s24 second
masih setia make samsung s9+ walau layar retak dikit g ngaruh 😂,0,2026-04-15T04:19:13Z,setia make samsung s9 layar retak dikit g ngaruh
"Samsung udah mentok inovasi, design monoton, performa busuk, kamera B aja.",0,2026-04-15T04:00:10Z,samsung udah mentok inovasi design monoton performa busuk kamera b aja
